chanh chua
chanh cốm
chanh đào
chanh yên
chành bành
chánh hội
chánh phạm
chánh tổng
chạnh lòng
chào hàng
chào mừng
cháo quẩy
cháu chắt
cháu ngoại
chay tịnh
chày kình
chảy thây
cháy bùng
chạy chọt
chạy chữa
chạy điện
chạy giấy
chạy hiệu
chạy làng
chạy loạn
chạy quanh
chạy rông
chạy tang
chạy theo
chạy thoát
chạy tiền
chạy việc
chắc chắn
chắc chân
chắc nịch
chăm chắm
chăm chút
chằm chằm
chằm chặp
chăn chiếu
chăn nuôi
chằn tinh
chắn xích
chặn đứng
chặn giấy
chặn họng
chăng lưới
chăng màn
chăng nữa
chằng chéo
chằng chịt
chẳng bằng
chẳng cần
chẳng chi
chẳng hạn
chẳng may
chẳng những
chẳng nữa
chẳng qua
chẳng quản
chẳng sao
chẳng thà
chẳng trách
chẳng vừa
chắp nhặt
chắt chiu
châm biếm
châm chích
châm chọc
châm chước
châm ngôn
chầm chậm
chầm chập
chấm chấm
chấm công
chấm lửng
chấm phần
chấm phẩy
chấm phết
chấm than
chậm chạp
chậm tiến
chân chấu
chân chính
chân dung
chân không
chân khớp
chân kính
chân phương
chân thành
chân thật
chân thực
chân tình
chân trắng
chân trời
chân truyền
chân tướng
chẩn bệnh
chẩn bịnh
chẩn đoán
chẩn mạch
chấn chỉnh
chấn động
chấn hưng
chấn song
chấn thương
chận đứng
chấp chính
chấp chới
chấp hành
chấp kinh
chấp nhặt
chấp nhận
chấp nhất
chấp thuận
chập choạng
chập chờn
chập chững
chất cháy
chất chứa
chất chưởng
chất khoáng
chất liệu
chất lỏng
chất lượng
chất phác
chật chội
chật chưỡng
châu chấu
chầu chực
chầu trời
chẫu chàng
chẫu chuộc
chây lười
chè hương
chem chép
chèm chẹp
chém giết
chen chúc
cheo chéo
cheo cưới
chèo chống
chèo queo
chép miệng
chê trách
chếch choáng
chệch choạc
chễm chện
chênh lệch
chênh vênh
chểnh mảng
chếnh choáng
chệnh choạng
chết chóc
chết chửa
chết điếng
chết đuối
chết đứng
chết giấc
chết tươi
chi phiếu
chì chiết
chỉ thiên
chỉ trích
chí hướng
chí nguyện
chí thiết
chí tuyến
chia phôi
chìa khóa
chích ngừa
chiếc bóng
chiêm bái
chiêm bao
chiêm chiếp
chiêm nghiệm
chiêm ngưỡng
chiếm đoạt
chiếm đóng
chiếm giữ
chiếm hữu
chiếm lĩnh
chiền chiện
chiến bại
chiến bào
chiến binh
chiến công
chiến cuộc
chiến dịch
chiến đấu
chiến hạm
chiến hào
chiến hữu
chiến khu
chiến lũy
chiến lược
chiến thắng
chiến thuật
chiến thuyền
chiến tích
chiến tranh
chiến trận
chiến trường
chiến tuyến
chiết khấu
chiết quang
chiết trung
chiết xuất
chiết yêu
chiêu bài
chiêu binh
chiêu đãi
chiêu hiền
chiêu hồi
chiêu hồn
chiều chuộng
chiếu bóng
chiếu chỉ
chiếu điện
chiếu khán
chim chích
chim chóc
chim chuột
chim muông
chim ngói
chim xanh
chìm nghỉm
chín chắn
chín muồi
chín suối
chinh chiến
chinh phạt
chinh phu
chinh phụ
chinh phục
chỉnh đốn
chỉnh hình
chỉnh huấn
chỉnh lưu
chỉnh thể
chĩnh chện
chính biến
chính chuyên
chính đảng
chính đáng
chính phủ
chính quy
chính quyền
chính sách
chính thể
chính thức
chính trị
chít chít
chít khăn
chíu chít
chịu đựng
chịu nhục
chịu phép
chịu tang
chịu thua
chịu trống
choáng lộn
choáng óc
choáng váng
chọc ghẹo
chọc giận
chọc tiết
choi choi
choi chói
chòi canh
chõm chọe
chong chong
chong chóng
chòng chành
chòng chọc
chòng ghẹo
chỏng chơ
chỏng gọng
chỏng kềnh
chỏng lỏn
chóng mặt
chóng vánh
chóp chép
chóp chóp
chốc chốc
chôm chôm
chồm chỗm
chôn chân
chồn lòng
chông chênh
chông gai
chồng chất
chồng chéo
chồng ngồng
chổng gọng
chổng kềnh
chống chế
chống chếnh
chống chỏi
chống chọi
chống đối
chống trả
chơ chỏng
chở khách
chợ chiều
chợ phiên
chơi ngang
chơi trèo
chơi trội
chơm chởm
chơm chớp
chớp bóng
chớp nhoáng
chu chuyển
chu trình
chủ chiến
chủ nghĩa
chủ nhiệm
chủ quyền
chủ trương
chủ tướng
chủ xướng
chú thích
chú trọng
chua chát
chua ngoa
chua ngọt
chùa chiền
chúa công
chúa nhật
chúa trời
chuẩn chi
chuẩn đích
chuẩn hoá
chuẩn mực
chuẩn tướng
chuẩn xác
chúc mừng
chúc tụng
chuệch choạc
chui luồn
chum chúm
chũm chọe
chúm chím
chùn chụt
chũn chĩn
chung chạ
chung chung
chung cục
chung cuộc
chung đúc
chung đụng
chung kết
chung quanh
chung quy
chung thẩm
chung thân
chung thủy
chung tình
chủng đậu
chủng loại
chủng tộc
chủng viện
chúng mình
chúng sinh
chúng tôi
chuộc tội
chuỗi ngày
chuối hoa
chuối sợi
chuồn chuồn
chuồng tiêu
chuồng trại
chuồng xí
chuột bạch
chuột chù
chuột chũi
chuột cống
chuột đồng
chuột lang
chuột nhắt
chuột rút
